SKU,Name,Category,Price,StockQuantity
LAP-4011,Pro Book Laptop,Electronics,899.99,15
PHN-5122,Smart Phone Max,Electronics,549.90,20
TAB-1044,Pro Tablet Plus,Electronics,299.00,8
DES-8812,Core Quad Desktop,Electronics,1250.00,5
MOU-2012,Wireless Gaming Mouse,Accessories,45.00,50
KEY-1044,Mechanical Keyboard,Accessories,85.50,30
MON-9912,UltraWide 4K Monitor,Electronics,349.99,12
HDP-3021,Noise Canceling Headset,Accessories,120.00,4
CHA-1099,Ergonomic Office Chair,Furniture,250.00,3
DSK-1221,Standing Desk Pro,Furniture,450.00,2
